Leitungsfunktion;Status seit;Eigentum;Teilnetz;Druckzone;Bauart;Vorschieber;Leistung (m³/h);Bemerkung;Nennweite DN [mm];Nenndruck (PN);Verbindungsart;Einbaujahr;Postleitzahl;Gemeindename;Ortsteilname;Straßenname;Strassenschlüssel;Hausnr;Hausnr-Ergänzung;Gebäudelage;Gebäudenutzung;Name I;Name II;Benutzeridentifikation;WA Leitungsabschnitt;X B Position ETRS89 Zone 32;Y B Position ETRS89 Zone 32;X B Punkt AW ETRS89 Zone 32;Y B Punkt AW ETRS89 Zone 32;Id;Latitude;Longitude;;
Hydrantenleitung;01.01.01;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;178,125;Leistung der Hydranten nicht aufsummieren! ;100;PN 16;(Fl) Flansch;2001;90475;Nürnberg;Fischbach;Nestroystr.;507744300004;5;;;Mehrfamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.2001;100";"(OH) Überflurhydrant;N-ERGIE;2782493;(37)Fischbach";"Nürnberg;Fischbach;Nestroystr.;5;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1988;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;1.800 m;1.820 m;BP:OK ÜP:OK  NL:OK ;;;";658505.842 m;5476434.508 m;;;2782493;49.419919;11.185595;;
Hydrantenleitung;11.02.22;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;;;80;PN 16;(Fl) Flansch;2022;90475;Nürnberg;Moorenbrunn;Radstädter Str.;508631000002;54;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;11.02.2022;100";"(UH) Unterflurhydrant;N-ERGIE;32342671;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Radstädter Str.;54;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;100;PN 10;2.300 m;2.300 m;BP:OK ÜP:OK  NL:OK ;;;";658051.020 m;5473897.239 m;;;32342671;49.397231;11.178318;;
Hydrantenleitung;;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;56,719;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1992;90475;Nürnberg;Fischbach;Augraben;501514900001;56;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1992;100";"(UH) Unterflurhydrant;N-ERGIE;2795562;(37)Fischbach";"Nürnberg;Fischbach;Augraben;56;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1979;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;1.983 m;1.982 m;BP:OK ÜP:OK  NL:OK ;;;";658540.301 m;5477025.936 m;;;2795562;49.425226;11.186306;;
Versorgungsleitung;03.06.15;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;52,125;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2015;90475;Nürnberg;Fischbach;Dickensstr.;502678000004;6;;Vordergebäude 1;Fabrik,Industrie;"VW;Versorgungsleitung;in Betrieb;03.06.2015;80";"(UH) Unterflurhydrant;N-ERGIE;25679597;(37)Fischbach";"Nürnberg;Fischbach;Dickensstr.;6;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;80;PN 10;89.747 m;90.373 m;BP:OK ÜP:N.OK  NL:OK ;;;";659641.584 m;5476355.543 m;;;25679597;49.418912;11.201211;;
Versorgungsleitung;02.10.07;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;102,75;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2007;90475;Nürnberg;Fischbach;Döblinstr.;502543200002;1;;;Zweifamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2007;80";"(OH) Überflurhydrant;N-ERGIE;13360745;(37)Fischbach";"Nürnberg;Fischbach;Döblinstr.;1;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;02.10.2007;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.300 m;1.659 m;BP:OK ÜP:OK  NL:OK ;;;";659276.197 m;5476227.643 m;;;13360745;49.417859;11.196126;;
Hydrantenleitung;24.06.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Moorenbrunn;Gutshofstr.;504233000002;9;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;24.06.2016;100";"(OH) Überflurhydrant;N-ERGIE;26829886;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Gutshofstr.;9;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;2.400 m;2.382 m;BP:OK ÜP:OK  NL:OK ;;;";657584.070 m;5473773.445 m;;;26829886;49.396240;11.171838;;
Versorgungsleitung;08.11.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;180,375;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Altenfurt;Welfenstr.;511088800017;9;;;Mehrfamilienhaus;"VW;Versorgungsleitung;in Betrieb;08.11.2016;100";"(UH) Unterflurhydrant;N-ERGIE;27281533;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Welfenstr.;9;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;08.11.2016;(HOB) Hoher Bühl;125*11,4 PE-100;100;PN 10;62.800 m;64.362 m;BP:OK ÜP:N.OK  NL:OK ;;;";657888.812 m;5474750.490 m;;;27281533;49.404943;11.176423;;
Versorgungsleitung;19.06.08;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;57,75;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2008;90475;Nürnberg;Fischbach;Fontanestr.;503476200059;13;;Vordergebäude 1;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2008;100";"(UH) Unterflurhydrant;N-ERGIE;2808919;(37)Fischbach";"Nürnberg;Fischbach;Fontanestr.;13;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;45.600 m;45.681 m;BP:OK ÜP:N.OK  NL:OK ;;;";659544.654 m;5476581.805 m;;;2808919;49.420972;11.199967;;
Versorgungsleitung;01.01.86;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;64,125;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1986;90475;Nürnberg;Altenfurt;Wittelsbacherstr.;511372000014;43;b;;Mehrfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1986;80";"(UH) Unterflurhydrant;N-ERGIE;1974703;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wittelsbacherstr.;43 b;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;80;PN 10;77.200 m;76.970 m;BP:OK ÜP:N.OK  NL:OK ;;;";657891.390 m;5475050.344 m;;;1974703;49.407637;11.176578;;
Versorgungsleitung;01.01.87;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;63,844;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1987;90475;Nürnberg;Fischbach;Felix-Dahn-Str.;503359300006;3;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1987;80";"(UH) Unterflurhydrant;N-ERGIE;2805263;(37)Fischbach";"Nürnberg;Fischbach;Felix-Dahn-Str.;3;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß ZM s;80;PN 10;156.000 m;157.379 m;BP:OK ÜP:N.OK  NL:OK ;;;";659154.469 m;5476694.415 m;;;2805263;49.422086;11.194636;;
